Comuna,Region,EspeciesPT,GrupoPT,GRUPO ESPECIE AGRUPADO,toponimio,TipoPorcion,superficieTotal,Tipo Titulares,Macrozona,Tipo Toponimio
CARAHUE,REGIÓN DE LA ARAUCANÍA,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): RÍO IMPERIAL, AL OESTE DE SECTOR SAN PABLO",(1): AGUA Y FONDO,1.5,Persona natural,Centro Sur,Río
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLIN RIBERA NORTE, PARCELA R4",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
ANCUD,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): ESTERO CHAULAR, AL OESTE DE PUNTA LARGA. PENÍNSULA GUAPILACUI, (2): ESTERO CHAULAR, AL OESTE DE PUNTA LARGA. PENÍNSULA GUAPILACUI, (3): ESTERO CHAULAR, AL OESTE DE PUNTA LARGA. PENÍNSULA GUAPILACUI","(1): PLAYA , (2): PLAYA , (3): AGUA Y FONDO",4.0,Sindicato,Sur,Estero
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO QUENUIR, SECTOR QUENUIR",(1): AGUA Y FONDO,7.39,Persona natural,Sur,Río
QUEMCHI,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): ESTERO BUTATIQUE, AL ESTE DE ISLA CHEMLLI, ISLA BUTACHAUQUES",(1): AGUA Y FONDO,2.97,Persona natural,Sur,Estero
CASTRO,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): ESTERO CASTRO , AL NORESTE DE PUNTA DEQUIO",(1): AGUA Y FONDO,4.22,Persona natural,Sur,Estero
AISEN,REGIÓN DE AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO,"SALMON CEREZA, SALMON DEL ATLANTICO, SALMON KETA, SALMON PLATEADO, SALMON REY, SALMON ROSADO, TRUCHA ARCOIRIS, TRUCHA CAFE, TRUCHA DE ARROYO, TRUCHA DE LA MONTAÑA",SALMONIDOS,PECES,"(1): ESTERO CUPQUELAN, AL SUROESTE DE PUNTA MORALES",(1): AGUA Y FONDO,3.36,Empresa,Austral,Estero
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RIBERA NORTE RÍO MAULLÍN, PARCELA LOTE R, NÚMERO 3",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
IQUIQUE,REGIÓN DE TARAPACA,DORADO,CIPRÍNIDOS,PECES,"(1): CALETA TOYOS, AL SUROESTE DE PUNTA SARGAZOS",(1): AGUA Y FONDO,10.0,Empresa,Norte,Caleta
CALBUCO,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): ENSENADA CODIHUE, AL NOROESTE DE PUNTA PEUQUE, SECTOR 1",(1): AGUA Y FONDO,2.0,Persona natural,Sur,Ensenada
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO  MAULLÍN, RIBERA NORTE, PARCELA P5",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLÍN, RIBERA NORTE, PARCELA D30",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
HUALAIHUE,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): CANAL HORNOPIRÉN, AL SUR DE CALETA RÍO NEGRO",(1): AGUA Y FONDO,3.0,Persona natural,Sur,Canal
ANCUD,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): ESTERO QUETALMAHUE, AL NORESTE DE PUNTA CHUCALÉN",(1): AGUA Y FONDO,8.82,Persona natural,Sur,Estero
ANCUD,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO PUDETO, AL NORESTE DE PUPELDE",(1): AGUA Y FONDO,6.85,Persona natural,Sur,Río
CASTRO,REGIÓN DE LOS LAGOS,"CHOLGA, CHORITO, CHORO",MITILIDOS,MOLUSCOS,"(1): CANAL HUDSON, AL SURESTE DE PUNTA ATAL",(1): AGUA Y FONDO,5.99,Empresa,Sur,Canal
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLÍN, RIBERA NORTE, PARCELA C 20",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
MAULLIN,REGIÓN DE LOS LAGOS,"CAROLA, CHASCA, CHASCON O HUIRO NEGRO, CHICOREA DE MAR, COCHAYUYO, HUIRO CANUTILLO O FLOTADOR, LUCHE, LUGA CUCHARA O CORTA, LUGA NEGRA O CRESPA, LUGA-ROJA, PELILLO",MACROALGAS,ALGAS,"(1): RÍO MAULLÍN, RIBERA NORTE, PARCELA P10",(1): AGUA Y FONDO,0.3,Persona natural,Sur,Río
